mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
91.2338,92.4574,77.1342,119.852,110.854,46.1717
91.0085,124.777,36.6864,83.8163,77.5562,43.5772
94.826,92.4289,74.7192,119.493,109.771,46.0321
94.2584,90.5085,64.253,100.664,92.587,37.967
89.5143,88.8965,50.2871,75.1815,69.7568,27.8475
87.8749,92.5364,64.6778,98.4643,91.5834,38.0806
89.7121,95.5112,75.4714,118.682,110.079,47.2312
91.8979,91.1869,75.6234,117.043,108.114,44.4927
90.9263,91.0016,45.3657,69.5558,64.3708,26.3737
92.7994,90.1803,25.3411,39.1587,36.1153,14.7148
90.1808,87.9785,65.3551,97.5357,90.3921,35.756
79.4587,89.1768,81.806,114.97,108.487,42.7196
91.5409,90.5505,75.0899,115.27,106.557,43.4914
91.4055,92.172,52.0483,80.8027,74.713,31.0324
92.8807,86.1582,75.1433,112.792,104.044,40.5072
91.107,89.7666,72.9668,111.868,103.395,42.0851
90.1377,90.1563,77.6126,118.942,110.076,45.0696
92.3604,90.7779,45.4347,70.2969,64.8845,26.5898
92.5457,93.014,55.5724,87.6492,80.8681,33.9755
69.3681,90.7411,70.6077,94.7765,90.7336,35.8368
92.5076,87.4144,76.1121,114.98,106.12,41.8884
89.245,91.9801,78.4896,119.723,111.139,45.8875
91.4994,83.7424,80.6632,117.994,109.14,41.1929
99.48,95.369,30.0502,51.4619,46.8399,20.4525
91.7228,93.2867,46.9751,73.7453,68.1473,28.6644
91.0104,90.3098,53.9964,82.4179,76.2627,31.0134
72.633,92.3046,58.132,80.3848,76.5766,31.0705
107.021,92.2158,51.4297,93.6036,83.791,36.2989
90.9592,88.3217,49.5138,74.4723,68.9207,27.408
91.8324,62.9486,90.841,117.999,109.817,31.176
91.315,92.9948,65.4376,102.166,94.4822,39.5871
98.0019,91.4602,71.9633,117.191,107.016,44.6773
92.7637,89.196,45.0447,69.0724,63.7114,25.6736
92.2673,92.3211,76.1183,119.101,109.948,45.8147
91.6871,100.651,70.7514,118.29,109.318,49.6088
97.5094,89.8789,69.7182,111.559,101.985,41.8069
100.335,91.5271,59.3323,98.6947,89.7165,37.6639
64.1817,85.3325,42.1657,56.0599,53.7702,21.0847
101.905,91.7118,51.3423,86.8083,78.6654,33.2022
88.0531,90.0811,78.6981,117.454,109.261,44.0914
86.3468,92.4868,67.0869,104.113,96.756,41.1752
